"Data_source"	"Reference"	"Year_published"	"Methanogen_specific"	"Sequencing_method"	"Database_information"	"Field_vs_lab"	"Source_from_paper"	"Original_sample_ID"	"Sample_type"	"Sample_age"	"Length_experiment"	"Family_reported"	"Genus_reported"	"Species_reported"	"Family_GTDB"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanocullaceae"	"Methanoculleus"	"Methanoculleus sp002506585"	"Methanocullaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanocullaceae"	"Methanoculleus"	"Methanoculleus horonobensis"	"Methanocullaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanofollaceae"	"Methanofollis"	"Methanofollis liminatans"	"Methanofollaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanomethylophilaceae"	"NA"	"NA"	"Methanomethylophilaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanomethylophilaceae"	"UBA328"	"NA"	"Methanomethylophilaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanomethylophilaceae"	"VadinCA11"	"VadinCA11 sp002498365"	"Methanomethylophilaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanomethylophilaceae"	"Methanomethylophilus"	"Methanomethylophilus sp002495325"	"Methanomethylophilaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanomethylophilaceae"	"RumEn-M2"	"RumEn-M2 sp001421175"	"Methanomethylophilaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanomicrobiaceae"	"Methanomicrobium"	"NA"	"Methanomicrobiaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanoregulaceae"	"Methanoregula"	"NA"	"Methanoregulaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanoregulaceae"	"SD8"	"NA"	"Methanoregulaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanosarcinacea"	"Methanosarcina"	"NA"	"Methanosarcinaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanosarcinacea"	"Methanosarcina"	"Methanosarcina sp002499445"	"Methanosarcinaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanosarcinacea"	"NA"	"NA"	"Methanosarcinaceae"
"This_study"	"E (20 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"E"	"Leachate"	NA	"NA"	"Methanobacteriaceae"	"Methanobacterium"	"Methanobacterium sp002496805"	"Methanobacteriaceae"
"This_study"	"E (20 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"E"	"Leachate"	NA	"NA"	"Methanofollaceae"	"Methanofollis"	"NA"	"Methanofollaceae"
"This_study"	"E (20 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"E"	"Leachate"	NA	"NA"	"Methanospirillaceae"	"Methanospirillum"	"NA"	"Methanospirillaceae"
"This_study"	"E (20 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"E"	"Leachate"	NA	"NA"	"Methanotrichaceae"	"Methanothrix_A"	"Methanothrix_A harundinacea_D"	"Methanotrichaceae"
"This_study"	"E (20 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"E"	"Leachate"	NA	"NA"	"Methanotrichaceae"	"Methanothrix_A"	"Methanothrix_A sp001602645"	"Methanotrichaceae"
"This_study"	"E (20 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"E"	"Leachate"	NA	"NA"	"Methanotrichaceae"	"Methanothrix"	"Methanothrix soehngenii"	"Methanotrichaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanobacteriaceae"	"Methanobacterium_B"	"NA"	"Methanobacteriaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanocorpusculaceae"	"Methanocorpusculum"	"Methanocorpusculum sp002506085"	"Methanocorpusculaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanocorpusculaceae"	"Methanocorpusculum"	"Methanocorpusculum parvum"	"Methanocorpusculaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanocullaceae"	"Methanoculleus"	"Methanoculleus sp002506585"	"Methanocullaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanocullaceae"	"Methanoculleus"	"Methanoculleus horonobensis"	"Methanocullaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanocullaceae"	"Methanoculleus"	"Methanoculleus sp002501655"	"Methanocullaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanofollaceae"	"Methanofollis"	"NA"	"Methanofollaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanomethylophilaceae"	"RumEn-M2"	"RumEn-M2 sp002506255"	"Methanomethylophilaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanomethylophilaceae"	"Methanomethylophilus"	"Methanomethylophilus sp002495325"	"Methanomethylophilaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanomethylophilaceae"	"RumEn-M2"	"RumEn-M2 sp001421175"	"Methanomethylophilaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanomethylophilaceae"	"VadinCA11"	"VadinCA11 sp002498365"	"Methanomethylophilaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanomicrobiaceae"	"Methanomicrobium"	"NA"	"Methanomicrobiaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanomicrobiaceae"	"Methanomicrobium"	"NA"	"Methanomicrobiaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanoregulaceae"	"Methanoregula"	"NA"	"Methanoregulaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanosarcinacea"	"NA"	"NA"	"Methanosarcinaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanosarcinacea"	"Methanosarcina"	"Methanosarcina sp002499445"	"Methanosarcinaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanosarcinacea"	"Methanosarcina"	"NA"	"Methanosarcinaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanosarcinacea"	"Methanosarcina"	"Methanosarcina sp002509325"	"Methanosarcinaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanotrichaceae"	"Methanothrix"	"NA"	"Methanotrichaceae"
"This_study"	"F1 (5 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F1"	"Leachate"	NA	"NA"	"Methanotrichaceae"	"Methanothrix"	"Methanothrix soehngenii"	"Methanotrichaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanobacteriaceae"	"Methanobacterium"	"Methanobacterium formicicum"	"Methanobacteriaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanobacteriaceae"	"UBA412"	"UBA412 sp002495685"	"Methanobacteriaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanocorpusculaceae"	"Methanocorpusculum"	"Methanocorpusculum parvum"	"Methanocorpusculaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanocullaceae"	"Methanoculleus"	"Methanoculleus chikugoensis_A"	"Methanocullaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanocullaceae"	"Methanoculleus"	"Methanoculleus sp002506585"	"Methanocullaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanomethylophilaceae"	"Methanomethylophilu"	"Methanomethylophilus sp002495325"	"Methanomethylophilaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanomethylophilaceae"	"VadinCA11"	"VadinCA11 sp002498365"	"Methanomethylophilaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanomethylophilaceae"	"RumEn-M2"	"RumEn-M2 sp001421175"	"Methanomethylophilaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanoregulaceae"	"Methanoregula"	"NA"	"Methanoregulaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanosarcinacea"	"NA"	"NA"	"Methanosarcinaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanosarcinacea"	"Methanosarcina"	"Methanosarcina sp002499445"	"Methanosarcinaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanosarcinacea"	"Methanosarcina"	"Methanosarcina sp002509325"	"Methanosarcinaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanotrichaceae"	"Methanothrix"	"NA"	"Methanotrichaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanotrichaceae"	"Methanothrix"	"NA"	"Methanotrichaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanotrichaceae"	"Methanothrix"	"Methanothrix soehngenii"	"Methanotrichaceae"
"This_study"	"F2 (3 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"F2"	"Leachate"	NA	"NA"	"Methanotrichaceae"	"Methanothrix"	"NA"	"Methanotrichaceae"
"Literature"	"X. Fei, *et al.* Waste Management **36**, 184-190 (2015)"	2015	"Yes"	"16S"	"Mothur-RDP"	"Lab"	"Figure 4"	"Simulator A"	"Leachate"	"2 to 3 years"	"350 days"	"Methanosarcinaceae"	"NA"	"NA"	"Methanosarcinaceae"
"Literature"	"X. Fei, *et al.* Waste Management **36**, 184-190 (2015)"	2015	"Yes"	"16S"	"Mothur-RDP"	"Lab"	"Figure 4"	"Simulator A"	"Leachate"	"2 to 3 years"	"350 days"	"Methanomicrobiaceae"	"NA"	"NA"	"Methanomicrobiaceae"
"Literature"	"X. Fei, *et al.* Waste Management **36**, 184-190 (2015)"	2015	"Yes"	"16S"	"Mothur-RDP"	"Lab"	"Figure 4"	"Simulator A"	"Leachate"	"2 to 3 years"	"350 days"	"Methanobacteriaceae"	"NA"	"NA"	"Methanobacteriaceae"
"Literature"	"X. Fei, *et al.* Waste Management **36**, 184-190 (2015)"	2015	"Yes"	"16S"	"Mothur-RDP"	"Lab"	"Figure 4"	"Simulator A"	"Leachate"	"2 to 3 years"	"350 days"	"Methanosaetaceae"	"NA"	"NA"	"Methanotrichaceae"
"Literature"	"X. Fei, *et al.* Waste Management **36**, 184-190 (2015)"	2015	"Yes"	"16S"	"Mothur-RDP"	"Lab"	"Figure 4"	"Simulator B"	"Leachate"	"2 to 3 years"	"350 days"	"Methanosarcinaceae"	"NA"	"NA"	"Methanosarcinaceae"
"Literature"	"X. Fei, *et al.* Waste Management **36**, 184-190 (2015)"	2015	"Yes"	"16S"	"Mothur-RDP"	"Lab"	"Figure 4"	"Simulator B"	"Leachate"	"2 to 3 years"	"350 days"	"Methanomicrobiaceae"	"NA"	"NA"	"Methanomicrobiaceae"
"Literature"	"X. Fei, *et al.* Waste Management **36**, 184-190 (2015)"	2015	"Yes"	"16S"	"Mothur-RDP"	"Lab"	"Figure 4"	"Simulator B"	"Leachate"	"2 to 3 years"	"350 days"	"Methanobacteriaceae"	"NA"	"NA"	"Methanobacteriaceae"
"Literature"	"X. Fei, *et al.* Waste Management **36**, 184-190 (2015)"	2015	"Yes"	"16S"	"Mothur-RDP"	"Lab"	"Figure 4"	"Simulator B solid waste"	"Solid waste"	"2 to 3 years"	"350 days"	"Methanosarcinacea"	"NA"	"NA"	"Methanosarcinaceae"
"Literature"	"X. Fei, *et al.* Waste Management **36**, 184-190 (2015)"	2015	"Yes"	"16S"	"Mothur-RDP"	"Lab"	"Figure 4"	"Simulator B solid waste"	"Solid waste"	"2 to 3 years"	"350 days"	"Methanomicrobiaceae"	"NA"	"NA"	"Methanomicrobiaceae"
"Literature"	"X. Fei, *et al.* Waste Management **36**, 184-190 (2015)"	2015	"Yes"	"16S"	"Mothur-RDP"	"Lab"	"Figure 4"	"Simulator B solid waste"	"Solid waste"	"2 to 3 years"	"350 days"	"Methanobacteriaceae"	"NA"	"NA"	"Methanobacteriaceae"
"Literature"	"C. Bareither, *et al.* Waste Management **33**, 10, 1982-1992 (2013)"	2013	"No"	"qPCR"	"Mothur v1.27.0 - Silva"	"Lab"	"Figure 5"	"Reactor A"	NA	"3 to 4 months"	"190 days"	"Methanosarcinacea"	"NA"	"NA"	"Methanosarcinaceae"
"Literature"	"C. Bareither, *et al.* Waste Management **33**, 10, 1982-1992 (2013)"	2013	"No"	"qPCR"	"Mothur v1.27.0 - Silva"	"Lab"	"Figure 5"	"Reactor B"	NA	"3 to 4 months"	"190 days"	"Methanosarcinacea"	"NA"	"NA"	"Methanosarcinaceae"
"Literature"	"C. Bareither, *et al.* Waste Management **33**, 10, 1982-1992 (2013)"	2013	"No"	"qPCR"	"Mothur v1.27.0 - Silva"	"Lab"	"Figure 5"	"Reactor C"	NA	"3 to 4 months"	"190 days"	"Methanosarcinacea"	"NA"	"NA"	"Methanosarcinaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P1-1"	"Solid waste"	"1 year"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P1-1"	"Solid waste"	"1 year"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P1-1"	"Solid waste"	"1 year"	"NA"	NA	"Methanosarcina"	NA	"Methanosarcinaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P1-2"	"Solid waste"	"1.9 years"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P1-2"	"Solid waste"	"1.9 years"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P1-2"	"Solid waste"	"1.9 years"	"NA"	NA	"Methanosarcina"	NA	"Methanosarcinaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P1-3"	"Solid waste"	"3.0 years"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P1-3"	"Solid waste"	"3.0 years"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P1-3"	"Solid waste"	"3.0 years"	"NA"	NA	"Methanosarcina"	NA	"Methanosarcinaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P2-1"	"Solid waste"	"0.3 years"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P2-1"	"Solid waste"	"0.3 years"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P2-1"	"Solid waste"	"0.3 years"	"NA"	NA	"Methanosarcina"	NA	"Methanosarcinaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P2-2"	"Solid waste"	"11.3 years"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P2-2"	"Solid waste"	"11.3 years"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P2-2"	"Solid waste"	"11.3 years"	"NA"	NA	"Methanosarcina"	NA	"Methanosarcinaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P2-3"	"Solid waste"	"15.0 years"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P2-3"	"Solid waste"	"15.0 years"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P2-3"	"Solid waste"	"15.0 years"	"NA"	NA	"Methanosarcina"	NA	"Methanosarcinaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P2-3"	"Solid waste"	"15.0 years"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"W. Tang, *et al.* FEMS Microbiol. Lett. **363**, 9, 1-7 (2016)"	2016	"Yes"	"mcrA"	"Referenced Song and Wang 2015"	"Field"	"Abstract and less so Figure 2"	"P2-3"	"Solid waste"	"15.0 years"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
