Bin_ID	Marker_lineage_number		Number_genomes	Number_markers	Number_marker_sets	0	1	2	3	4	5+	Completeness	Contamination	Strain_heterogeneity
STB_72	c__Betaproteobacteria	(UID3959)	235	418	210	1	417	0	0	0	0	99.84	0	0
STF1_160	k__Bacteria	(UID209)	5443	104	58	1	99	4	0	0	0	99.84	1.04	25
STF1_265	k__Bacteria	(UID209)	5443	104	58	1	103	0	0	0	0	99.84	0	0
STC_94	c__Betaproteobacteria	(UID3971)	223	424	211	1	423	0	0	0	0	99.76	0	0
STD2_10	f__Moraxellaceae	(UID4680)	86	689	365	2	680	7	0	0	0	99.66	0.86	14.29
STF2_147	o__Clostridiales	(UID1120)	304	247	141	1	246	0	0	0	0	99.65	0	0
STD2_19	p__Proteobacteria	(UID3061)	115	395	260	1	392	2	0	0	0	99.62	0.21	0
STF2_88	o__Bacteroidales	(UID2621)	198	427	260	1	423	3	0	0	0	99.62	0.71	0
STA_46	o__Burkholderiales	(UID4000)	193	427	214	2	411	13	1	0	0	99.61	3.18	6.25
STC_107	c__Betaproteobacteria	(UID3888)	323	387	234	1	384	2	0	0	0	99.57	0.45	0
STC_53	k__Bacteria	(UID3060)	138	337	245	2	324	11	0	0	0	99.57	3.81	9.09
STD2_198	k__Bacteria	(UID2569)	434	278	186	1	264	11	2	0	0	99.46	6.83	5.88
STF1_83	k__Bacteria	(UID2569)	434	278	186	1	276	1	0	0	0	99.46	0.27	0
STE_36	k__Bacteria	(UID2570)	433	273	183	1	272	0	0	0	0	99.45	0	0
STF1_145	k__Bacteria	(UID2570)	433	273	183	1	271	1	0	0	0	99.45	0.55	0
STD2_191	c__Deltaproteobacteria	(UID3218)	61	284	169	1	282	1	0	0	0	99.41	0.02	0
STC_69	c__Deltaproteobacteria	(UID3216)	83	246	155	1	240	4	0	1	0	99.35	2.69	0
STD1_6	p__Euryarchaeota	(UID49)	95	228	153	1	225	2	0	0	0	99.35	1.31	50
STD2_179	p__Euryarchaeota	(UID49)	95	228	153	1	224	3	0	0	0	99.35	1.63	33.33
STF1_151	c__Deltaproteobacteria	(UID3216)	83	247	155	1	246	0	0	0	0	99.35	0	0
STB_48	c__Betaproteobacteria	(UID3959)	235	418	210	3	414	1	0	0	0	99.34	0.24	0
STC_134	o__Burkholderiales	(UID4000)	193	427	214	2	414	11	0	0	0	99.3	2.67	0
STD2_228	o__Clostridiales	(UID1120)	304	247	141	1	245	1	0	0	0	99.29	0.71	0
STA_73	k__Bacteria	(UID2982)	88	230	148	2	223	4	1	0	0	99.28	3.72	28.57
STCSWMC_128	k__Bacteria	(UID2570)	433	273	183	2	270	1	0	0	0	99.27	0.55	0
STA_22	c__Gammaproteobacteria	(UID4274)	112	580	290	5	568	7	0	0	0	99.25	1.86	0
STD1_208	c__Gammaproteobacteria	(UID4274)	112	580	289	3	570	7	0	0	0	99.25	1.14	0
STC_68	c__Gammaproteobacteria	(UID4274)	112	580	289	4	573	3	0	0	0	99.24	0.69	0
STB_6	k__Bacteria	(UID3060)	138	338	246	2	326	10	0	0	0	99.19	3.25	40
STC_79	k__Bacteria	(UID3060)	138	338	246	2	329	6	1	0	0	99.19	2.64	22.22
STCSWMC_162	k__Bacteria	(UID3060)	138	338	246	2	331	5	0	0	0	99.19	1.64	20
STCSWMC_27	k__Bacteria	(UID3060)	138	338	246	2	321	15	0	0	0	99.19	5.49	0
STD1_68	c__Gammaproteobacteria	(UID4274)	112	580	289	4	573	3	0	0	0	99.19	0.49	0
STD2_58	k__Bacteria	(UID3060)	138	338	246	2	330	6	0	0	0	99.19	1.9	0
STE_67	k__Bacteria	(UID3060)	138	338	246	2	335	1	0	0	0	99.19	0.41	0
STF2_1	k__Bacteria	(UID2569)	434	278	186	2	275	1	0	0	0	99.19	0.27	0
STC_22	c__Betaproteobacteria	(UID3888)	323	387	234	2	384	1	0	0	0	99.15	0.43	100
STE_165	k__Bacteria	(UID209)	5443	105	59	1	104	0	0	0	0	99.15	0	0
STE_166	k__Bacteria	(UID209)	5443	105	59	1	101	3	0	0	0	99.15	3.39	100
STB_69	c__Betaproteobacteria	(UID3888)	323	387	234	3	365	17	2	0	0	99.12	1.98	13.04
STA_24	c__Betaproteobacteria	(UID3959)	235	419	211	2	409	8	0	0	0	99.05	1.72	37.5
STF2_160	p__Bacteroidetes	(UID2605)	350	316	210	2	309	3	2	0	0	99.05	2.62	11.11
STF2_71	k__Bacteria	(UID2569)	434	278	186	4	265	8	1	0	0	99.04	4.84	9.09
STCSWMC_124	p__Actinobacteria	(UID2112)	31	211	124	3	199	9	0	0	0	99.03	4.7	77.78
STB_117	p__Proteobacteria	(UID3882)	1493	258	161	5	251	2	0	0	0	98.96	1.24	0
STF2_122	k__Bacteria	(UID2569)	434	278	186	2	271	5	0	0	0	98.92	2.42	60
STE_14	c__Deltaproteobacteria	(UID3217)	62	280	168	3	275	2	0	0	0	98.91	1.19	100
STF1_45	k__Bacteria	(UID2570)	433	273	183	4	266	3	0	0	0	98.91	1.37	66.67
STF2_83	k__Bacteria	(UID2570)	433	273	183	2	269	2	0	0	0	98.91	1.09	0
STCSWMC_50	k__Bacteria	(UID2495)	2993	147	91	1	144	2	0	0	0	98.9	2.2	0
STCSWMC_51	p__Euryarchaeota	(UID54)	90	234	153	3	228	3	0	0	0	98.89	1.96	0
STCSWMC_218	k__Bacteria	(UID2329)	174	149	89	1	148	0	0	0	0	98.88	0	0
STD2_136	k__Bacteria	(UID2329)	174	149	89	1	148	0	0	0	0	98.88	0	0
STF1_111	k__Bacteria	(UID2329)	174	149	89	1	148	0	0	0	0	98.88	0	0
STF2_239	k__Bacteria	(UID2329)	174	149	89	1	148	0	0	0	0	98.88	0	0
STCSWMC_217	k__Bacteria	(UID2495)	2993	142	88	1	139	2	0	0	0	98.86	2.27	50
STB_50	c__Gammaproteobacteria	(UID4201)	1164	275	174	2	268	5	0	0	0	98.85	2.3	60
STCSWMC_55	c__Deltaproteobacteria	(UID3216)	83	246	155	4	241	1	0	0	0	98.85	0.65	0
STD2_80	k__Bacteria	(UID3060)	138	338	246	21	316	1	0	0	0	98.85	0.2	0
STE_204	c__Gammaproteobacteria	(UID4201)	1164	275	174	3	265	7	0	0	0	98.85	2.3	100
STCSWMC_87	k__Bacteria	(UID2495)	2993	147	91	2	143	2	0	0	0	98.84	2.2	0
STD1_197	k__Bacteria	(UID2495)	2993	147	91	2	145	0	0	0	0	98.84	0	0
STF1_173	k__Bacteria	(UID2495)	2993	147	91	2	142	3	0	0	0	98.84	3.3	33.33
STF1_267	k__Bacteria	(UID2495)	2993	147	91	2	144	1	0	0	0	98.84	1.1	0
STA_18	c__Betaproteobacteria	(UID3959)	235	419	211	3	409	7	0	0	0	98.82	2.16	0
STD2_94	c__Deltaproteobacteria	(UID3218)	61	284	169	2	280	2	0	0	0	98.82	0.59	0
STA_12	k__Bacteria	(UID3060)	138	337	245	24	305	8	0	0	0	98.79	1.73	12.5
STD2_90	o__Burkholderiales	(UID4000)	193	427	214	4	415	8	0	0	0	98.79	1.4	0
STF1_9	k__Bacteria	(UID3060)	138	337	245	3	326	8	0	0	0	98.78	2.04	25
STA_25	k__Bacteria	(UID3060)	138	335	244	3	325	6	1	0	0	98.77	2.87	55.56
STA_65	k__Bacteria	(UID3060)	138	335	244	3	322	9	1	0	0	98.77	3.48	50
STB_35	k__Bacteria	(UID3060)	138	335	244	3	327	5	0	0	0	98.77	1.37	0
STCSWMC_45	k__Bacteria	(UID3060)	138	335	244	3	327	4	1	0	0	98.77	2.05	0
STE_207	k__Bacteria	(UID3060)	138	335	244	3	330	2	0	0	0	98.77	0.61	0
STB_122	c__Gammaproteobacteria	(UID4274)	112	580	289	5	561	14	0	0	0	98.73	2.42	35.71
STD1_154	k__Bacteria	(UID1453)	901	171	117	2	169	0	0	0	0	98.72	0	0
STE_163	k__Bacteria	(UID1453)	901	171	117	2	169	0	0	0	0	98.72	0	0
STD2_134	o__Clostridiales	(UID1226)	155	278	158	3	275	0	0	0	0	98.71	0	0
STF2_90	c__Deltaproteobacteria	(UID3216)	83	247	155	2	241	4	0	0	0	98.71	1.96	0
STA_28	k__Bacteria	(UID3060)	138	337	245	12	323	2	0	0	0	98.68	0.61	0
STC_72	k__Bacteria	(UID2328)	3167	126	75	1	124	1	0	0	0	98.67	1.33	0
STF1_243	k__Bacteria	(UID2328)	3167	126	75	1	123	2	0	0	0	98.67	2.67	0
STCSWMC_133	k__Bacteria	(UID2569)	434	278	186	3	274	1	0	0	0	98.66	0.27	0
STD2_24	o__Clostridiales	(UID1212)	172	263	149	2	253	7	1	0	0	98.66	5.39	30
STE_13	o__Clostridiales	(UID1212)	172	263	149	3	255	4	1	0	0	98.66	4.03	14.29
STF2_98	o__Clostridiales	(UID1212)	172	263	149	5	252	5	1	0	0	98.66	4.7	0
STC_40														
STD2_185	f__Rhodocyclaceae	(UID3972)	30	540	241	11	522	7	0	0	0	98.55	1.24	42.86
STD2_235	p__Actinobacteria	(UID2112)	31	211	124	3	208	0	0	0	0	98.52	0	0
STC_5	o__Bacteroidales	(UID2617)	213	406	265	4	397	5	0	0	0	98.49	1.7	0
STB_73	c__Gammaproteobacteria	(UID4274)	112	581	290	10	565	6	0	0	0	98.48	1.26	16.67
STD2_216	o__Clostridiales	(UID1226)	155	278	158	7	268	3	0	0	0	98.45	1.11	33.33
STF2_54	p__Euryarchaeota	(UID54)	90	234	153	5	226	3	0	0	0	98.45	1.96	0
STD1_19	p__Euryarchaeota	(UID49)	95	228	153	20	202	5	1	0	0	98.41	3.92	37.5
STCSWMC_115	k__Bacteria	(UID2495)	2993	147	91	6	140	1	0	0	0	98.4	1.1	0
STF2_186	o__Clostridiales	(UID1120)	304	247	141	3	243	1	0	0	0	98.4	0.71	0
STC_16	c__Deltaproteobacteria	(UID3216)	83	246	155	3	239	4	0	0	0	98.39	2.26	25
STCSWMC_225	c__Deltaproteobacteria	(UID3216)	83	247	155	3	241	3	0	0	0	98.39	1.94	66.67
STE_22	c__Clostridia	(UID1118)	387	223	124	3	217	3	0	0	0	98.39	1.28	33.33
STE_73	k__Bacteria	(UID2569)	434	278	186	4	269	5	0	0	0	98.39	2.15	20
STA_8	k__Bacteria	(UID3060)	138	337	245	4	331	2	0	0	0	98.37	0.61	0
STD1_151	p__Euryarchaeota	(UID54)	90	234	153	4	227	3	0	0	0	98.37	1.01	100
STE_9	k__Bacteria	(UID3060)	138	337	245	4	329	4	0	0	0	98.37	1.22	0
STC_11	o__Burkholderiales	(UID4000)	193	427	214	9	407	11	0	0	0	98.36	2.04	72.73
STCSWMC_118	k__Bacteria	(UID2570)	433	273	183	3	267	3	0	0	0	98.36	0.64	33.33
STD2_49	k__Bacteria	(UID2570)	433	273	183	4	268	1	0	0	0	98.36	0.27	0
STE_201	k__Bacteria	(UID2570)	433	273	183	3	270	0	0	0	0	98.36	0	0
STF1_69	k__Bacteria	(UID2570)	433	273	183	4	266	3	0	0	0	98.36	0.77	33.33
STF1_180	k__Bacteria	(UID2495)	2993	147	91	2	145	0	0	0	0	98.35	0	0
STCSWMC_3	k__Bacteria	(UID209)	5443	105	59	1	103	1	0	0	0	98.31	1.69	0
STD1_169	k__Bacteria	(UID209)	5443	105	59	1	104	0	0	0	0	98.31	0	0
STD2_147	k__Bacteria	(UID209)	5443	105	59	1	103	1	0	0	0	98.31	0.85	0
STE_161	k__Bacteria	(UID209)	5443	105	59	1	103	1	0	0	0	98.31	1.69	100
STE_185	k__Bacteria	(UID209)	5443	105	59	1	103	1	0	0	0	98.31	0.85	100
STE_58	k__Bacteria	(UID209)	5443	105	59	1	99	5	0	0	0	98.31	5.42	80
STD1_132	c__Deltaproteobacteria	(UID3216)	83	247	155	4	239	4	0	0	0	98.28	2.58	25
STD2_16	p__Proteobacteria	(UID3061)	115	395	260	5	365	25	0	0	0	98.27	6.15	4
STD1_73	c__Deltaproteobacteria	(UID3217)	62	280	168	4	273	3	0	0	0	98.21	1.79	33.33
STCSWMC_12	o__Burkholderiales	(UID4105)	54	553	264	7	543	3	0	0	0	98.2	0.45	0
STE_37	c__Deltaproteobacteria	(UID3217)	62	280	168	4	273	3	0	0	0	98.19	1.26	0
STF2_96	p__Actinobacteria	(UID2112)	31	211	124	4	203	4	0	0	0	98.19	1.57	75
STE_89	k__Bacteria	(UID3060)	138	337	245	6	328	2	1	0	0	98.16	1.22	0
STA_90	k__Bacteria	(UID2982)	88	230	148	5	217	7	1	0	0	98.14	4.46	70
STB_14	c__Gammaproteobacteria	(UID4274)	112	580	289	10	543	26	1	0	0	98.14	4.61	37.93
STD1_114	k__Bacteria	(UID209)	5443	104	58	2	100	2	0	0	0	98.12	0.31	50
STD1_152	k__Bacteria	(UID209)	5443	104	58	2	102	0	0	0	0	98.12	0	0
STE_182	k__Bacteria	(UID209)	5443	104	58	2	101	1	0	0	0	98.12	1.72	100
STF2_138	k__Bacteria	(UID2569)	434	278	186	4	270	4	0	0	0	98.12	2.15	50
STD2_118	o__Bacteroidales	(UID2617)	213	406	265	5	396	5	0	0	0	98.11	1.32	0
STD2_254	p__Firmicutes	(UID1022)	100	295	158	5	286	4	0	0	0	98.1	2.06	25
STB_144	k__Bacteria	(UID3060)	138	335	244	8	323	4	0	0	0	98.09	1.64	50
STF2_60	k__Bacteria	(UID2570)	433	273	183	6	267	0	0	0	0	98.09	0	0
STC_7	c__Betaproteobacteria	(UID3959)	235	418	210	5	409	4	0	0	0	98.07	1.01	25
STB_15	c__Deltaproteobacteria	(UID3216)	83	246	155	3	239	4	0	0	0	98.06	1.72	0
STCSWMC_67	c__Deltaproteobacteria	(UID3216)	83	246	155	3	242	1	0	0	0	98.06	0.65	0
STD1_108	p__Euryarchaeota	(UID49)	95	227	152	3	223	1	0	0	0	98.03	0.66	100
STCSWMC_196	o__Clostridiales	(UID1120)	304	250	143	8	236	5	1	0	0	98.02	3.67	12.5
STD2_218	o__Clostridiales	(UID1212)	172	263	149	3	260	0	0	0	0	97.99	0	0
STD2_182	c__Clostridia	(UID1118)	387	223	124	3	216	4	0	0	0	97.98	1.88	25
STC_55	k__Bacteria	(UID3060)	138	338	246	6	328	4	0	0	0	97.97	1.22	0
STF2_31	o__Bacteroidales	(UID2621)	198	427	260	7	416	4	0	0	0	97.95	0.96	0
STA_52	c__Betaproteobacteria	(UID3959)	235	418	210	5	395	18	0	0	0	97.94	4.14	27.78
STCSWMC_19	c__Deltaproteobacteria	(UID3217)	62	280	168	7	251	21	1	0	0	97.93	7.19	37.5
STF2_139	c__Deltaproteobacteria	(UID3218)	61	284	169	4	275	5	0	0	0	97.93	2.22	100
STCSWMC_98	o__Clostridiales	(UID1120)	304	247	141	3	242	2	0	0	0	97.87	0.89	50
STD2_23	k__Bacteria	(UID2569)	434	278	186	6	270	2	0	0	0	97.85	0.72	50
STF2_225	k__Bacteria	(UID2565)	2921	152	93	3	149	0	0	0	0	97.85	0	0
STC_109	k__Bacteria	(UID2570)	433	273	183	4	259	10	0	0	0	97.81	2.55	10
STD2_237	k__Bacteria	(UID2570)	433	273	183	4	265	4	0	0	0	97.81	1.18	25
STC_67	k__Bacteria	(UID2495)	2993	147	91	2	144	1	0	0	0	97.8	1.1	0
STE_190	k__Bacteria	(UID2495)	2993	147	91	2	145	0	0	0	0	97.8	0	0
STF1_208	k__Bacteria	(UID2495)	2993	147	91	3	141	3	0	0	0	97.8	2.3	33.33
STCSWMC_81	k__Bacteria	(UID2495)	2993	147	91	3	137	7	0	0	0	97.74	5.66	14.29
STD1_4	k__Bacteria	(UID209)	5443	105	59	2	101	2	0	0	0	97.74	3.39	0
STD2_108	k__Bacteria	(UID2495)	2993	142	88	2	139	1	0	0	0	97.73	0.07	0
STF1_165	k__Bacteria	(UID2495)	2993	142	88	2	140	0	0	0	0	97.73	0	0
STF2_124	k__Bacteria	(UID2570)	433	273	183	7	265	1	0	0	0	97.72	0.27	0
STF1_167	p__Euryarchaeota	(UID54)	90	234	153	5	223	5	1	0	0	97.71	4.58	62.5
STD1_187	k__Bacteria	(UID1452)	924	151	101	3	146	2	0	0	0	97.69	0.99	100
STF1_236	o__Selenomonadales	(UID1024)	64	334	167	12	321	1	0	0	0	97.67	0.3	0
STF2_153	o__Clostridiales	(UID1120)	304	250	143	4	244	2	0	0	0	97.67	0.77	50
STA_45	k__Bacteria	(UID2565)	2921	143	88	3	138	2	0	0	0	97.66	2.27	0
STC_126	c__Deltaproteobacteria	(UID3216)	83	246	155	23	214	8	1	0	0	97.65	4.02	54.55
STF1_230	o__Clostridiales	(UID1120)	304	247	141	6	238	3	0	0	0	97.64	2.13	100
STE_78	c__Betaproteobacteria	(UID3971)	223	425	211	25	397	3	0	0	0	97.63	0.95	100
STF1_185	k__Bacteria	(UID2569)	434	278	186	6	262	9	1	0	0	97.63	5.11	16.67
STF2_216	k__Bacteria	(UID2495)	2993	147	91	14	132	1	0	0	0	97.62	1.1	0
STB_62	k__Bacteria	(UID2982)	88	230	148	5	220	5	0	0	0	97.6	2.39	40
STF1_186	k__Bacteria	(UID2328)	3167	126	75	5	120	1	0	0	0	97.6	1.33	0
STB_154	c__Deltaproteobacteria	(UID3216)	83	246	155	6	238	2	0	0	0	97.58	0.97	50
STC_26	c__Gammaproteobacteria	(UID4274)	112	575	289	44	523	8	0	0	0	97.58	1.67	37.5
STC_96	c__Gammaproteobacteria	(UID4274)	112	580	289	12	508	52	8	0	0	97.58	7.25	23.68
STF1_8	k__Bacteria	(UID2569)	434	278	186	5	268	5	0	0	0	97.58	2.69	20
STCSWMC_73	k__Bacteria	(UID2570)	433	273	183	6	266	1	0	0	0	97.54	0.55	0
STCSWMC_85	o__Clostridiales	(UID1120)	304	247	141	7	238	2	0	0	0	97.52	0.89	50
STD2_233	o__Clostridiales	(UID1120)	304	247	141	6	241	0	0	0	0	97.5	0	0
STD2_159	o__Clostridiales	(UID1226)	155	278	158	6	270	2	0	0	0	97.47	0.37	0
STD2_217	p__Euryarchaeota	(UID54)	90	234	153	7	224	3	0	0	0	97.47	1.96	0
STF2_58	k__Bacteria	(UID2570)	433	273	183	12	245	16	0	0	0	97.47	5.96	18.75
STF1_75	c__Betaproteobacteria	(UID3959)	235	418	210	6	410	2	0	0	0	97.46	0.5	0
STF2_2	p__Bacteroidetes	(UID2605)	350	316	210	6	306	4	0	0	0	97.46	1.43	0
STA_53	f__Rhodocyclaceae	(UID3972)	30	540	241	16	523	1	0	0	0	97.45	0.1	0
STCSWMC_100	k__Bacteria	(UID3060)	138	337	245	8	325	4	0	0	0	97.45	1.43	25
STD1_66	o__Burkholderiales	(UID4000)	193	427	214	8	418	1	0	0	0	97.44	0.03	0
STE_120	k__Bacteria	(UID2372)	131	177	106	4	172	1	0	0	0	97.41	0.94	0
STC_125	c__Betaproteobacteria	(UID3971)	223	425	211	11	413	1	0	0	0	97.39	0.24	100
STF2_179	o__Bacteroidales	(UID2621)	198	427	260	9	417	1	0	0	0	97.37	0.38	0
STC_85	k__Bacteria	(UID2328)	3167	126	75	3	122	1	0	0	0	97.33	1.33	100
STD2_252	k__Bacteria	(UID2328)	3167	126	75	2	116	8	0	0	0	97.33	8.22	0
STF1_171	k__Bacteria	(UID2328)	3167	126	75	2	124	0	0	0	0	97.33	0	0
STF1_84	k__Bacteria	(UID2328)	3167	126	75	2	119	5	0	0	0	97.33	4	20
STD1_172	k__Bacteria	(UID2565)	2921	152	93	3	143	6	0	0	0	97.31	2.97	83.33
STF1_178	k__Bacteria	(UID2569)	434	278	186	6	270	2	0	0	0	97.31	0.81	0
STF2_191	k__Bacteria	(UID2569)	434	278	186	6	270	2	0	0	0	97.31	0.56	50
STB_13	k__Bacteria	(UID2982)	88	230	148	4	224	2	0	0	0	97.3	1.35	0
STC_78	k__Bacteria	(UID2982)	88	230	148	5	218	7	0	0	0	97.3	4.28	0
STC_6	o__Actinomycetales	(UID1663)	488	310	185	7	293	10	0	0	0	97.22	3.62	60
STD2_9	f__Rhodocyclaceae	(UID3972)	30	540	241	16	513	11	0	0	0	97.22	2.79	36.36
STD2_156	p__Euryarchaeota	(UID3)	148	187	124	4	182	1	0	0	0	97.18	0.81	100
STF1_218	c__Clostridia	(UID1118)	387	223	124	4	217	2	0	0	0	97.18	1.21	0
STF1_77	c__Clostridia	(UID1118)	387	223	124	5	209	9	0	0	0	97.18	5.78	66.67
STF2_149	o__Clostridiales	(UID1120)	304	249	142	4	244	1	0	0	0	97.18	0.02	100
STC_76	c__Betaproteobacteria	(UID3959)	235	418	210	25	383	10	0	0	0	97.16	4.29	30
STCSWMC_151	o__Clostridiales	(UID1120)	304	247	141	6	240	1	0	0	0	97.16	0.71	0
STE_132	o__Burkholderiales	(UID4000)	193	427	214	8	413	6	0	0	0	97.16	1.78	16.67
STC_18	c__Deltaproteobacteria	(UID3216)	83	246	155	11	227	8	0	0	0	97.15	1.08	87.5
STF1_119	k__Bacteria	(UID3060)	138	338	246	8	328	2	0	0	0	97.15	0.81	50
STD2_133	f__Lachnospiraceae	(UID1255)	90	354	174	6	331	15	2	0	0	97.13	6.33	0
STF2_113	o__Clostridiales	(UID1120)	304	250	143	9	236	5	0	0	0	97.11	2.45	20
STC_44														
STF2_159	k__Bacteria	(UID2570)	433	273	183	6	266	1	0	0	0	97.09	0.55	0
STF1_31	p__Euryarchaeota	(UID54)	90	234	153	10	216	8	0	0	0	97.08	4.9	25
STA_49	c__Gammaproteobacteria	(UID4274)	112	580	289	19	549	12	0	0	0	97.04	2.21	25
STC_17	c__Deltaproteobacteria	(UID3216)	83	246	155	8	233	5	0	0	0	97.03	1.99	40
STE_18	c__Deltaproteobacteria	(UID3218)	61	284	169	16	265	3	0	0	0	96.99	0.46	100
STC_38														
STD2_40	p__Euryarchaeota	(UID54)	90	234	153	7	224	2	1	0	0	96.95	2.09	20
STD2_70	k__Bacteria	(UID2372)	131	177	106	5	168	4	0	0	0	96.93	3.3	0
STA_62	f__Rhodocyclaceae	(UID3972)	30	540	241	12	521	7	0	0	0	96.82	2.1	42.86
STE_122	k__Bacteria	(UID1452)	924	163	110	4	156	3	0	0	0	96.82	2.27	0
STCSWMC_56	k__Bacteria	(UID2570)	433	273	183	8	264	1	0	0	0	96.81	0.55	0
STF1_41	o__Clostridiales	(UID1120)	304	247	141	5	241	1	0	0	0	96.81	0.24	0
STB_114	c__Deltaproteobacteria	(UID3216)	83	247	155	5	237	5	0	0	0	96.77	3.23	0
STC_64	c__Betaproteobacteria	(UID3971)	223	424	211	11	406	7	0	0	0	96.77	1.7	42.86
STCSWMC_149	c__Deltaproteobacteria	(UID3216)	83	247	155	5	239	3	0	0	0	96.77	1.33	100
STE_101	c__Clostridia	(UID1118)	387	223	124	4	219	0	0	0	0	96.77	0	0
STF1_181	k__Bacteria	(UID2569)	434	278	186	6	267	5	0	0	0	96.77	2.69	40
STF1_158	k__Bacteria	(UID2569)	434	278	186	8	268	2	0	0	0	96.76	0.81	50
STC_3	f__Rhodobacteraceae	(UID3340)	84	568	330	27	538	3	0	0	0	96.71	0.35	0
STB_68	k__Bacteria	(UID1452)	924	151	101	4	142	5	0	0	0	96.7	3.96	40
STB_97	k__Bacteria	(UID1452)	924	151	101	4	133	14	0	0	0	96.7	6.77	42.86
STD1_90	k__Bacteria	(UID2495)	2993	147	91	3	142	2	0	0	0	96.7	1.65	0
STE_51	k__Bacteria	(UID2495)	2993	147	91	4	138	5	0	0	0	96.7	4.5	20
STF1_222	c__Deltaproteobacteria	(UID3216)	83	246	155	6	239	1	0	0	0	96.65	0.65	0
STD1_110	c__Deltaproteobacteria	(UID3217)	62	280	168	15	250	15	0	0	0	96.64	3.92	20
STB_10	k__Bacteria	(UID2495)	2993	143	89	3	139	1	0	0	0	96.63	1.12	0
STD2_236	k__Bacteria	(UID2982)	88	230	148	5	223	2	0	0	0	96.62	1.35	0
STCSWMC_193	k__Bacteria	(UID209)	5443	105	59	2	102	1	0	0	0	96.61	0.15	100
STD2_123	k__Bacteria	(UID209)	5443	105	59	2	100	3	0	0	0	96.61	2	66.67
STE_189	k__Bacteria	(UID209)	5443	105	59	2	103	0	0	0	0	96.61	0	0
